"#1"	"#10"	"#11"	"#12"	"#13"	"#14"	"#15"	"#16"	"#17"	"#18"	"#19"	"#2"	"#20"	"#21"	"#22"	"#23"	"#24"	"#25"	"#26"	"#27"	"#29"	"#3"	"#30"	"#31"	"#33"	"#35"	"#36"	"#37"	"#38"	"#39"	"#4"	"#40"	"#41"	"#42"	"#43"	"#44"	"#45"	"#46"	"#47"	"#48"	"#49"	"#5"	"#50"	"#51"	"#52"	"#53"	"#54"	"#55"	"#56"	"#57"	"#58"	"#59"	"#6"	"#60"	"#61"	"#62"	"#64"	"#65"	"#66"	"#67"	"#68"	"#69"	"#7"	"#71"	"#72"	"#73"	"#75"	"#76"	"#77"	"#78"	"#79"	"#8"	"#80"	"#81"	"#82"	"#83"	"#84"	"#85"	"#9"
416.273794581159	426.751724091726	365.224376525909	342.091927711088	375.774829961303	339.98464180938	412.181072736427	412.572865492765	487.538892460235	344.34206340898	0	415.285839817611	0	448.553426254044	388.488018025023	407.412778677168	421.27546391134	397.972312745473	369.070760935379	467.719969746295	415.690920007474	0	381.40488632915	385.439765457681	392.449643018688	419.310214105351	561.810483012432	0	411.23593373676	440.915808435646	477.494867807253	373.144384242499	403.063168152719	387.794799974299	504.671575454308	650.412979873197	555.441820086532	391.787447651224	477.922748671611	367.536506378512	446.979033196042	457.664084112422	429.382604777056	366.626700842948	415.478832056716	368.579592860148	384.860455901259	337.38167144002	362.81370269045	438.29185044794	354.515614259878	414.218202237607	375.319002615663	589.447370417966	452.367471635938	360.726416370328	386.957109374482	413.642400363123	362.002280863553	349.539013412903	372.816259948583	402.715545541872	382.191437942312	462.975824715899	348.002279011654	485.540580820142	436.11055325647	355.245675099444	404.450590283063	387.454689177062	0	394.557525928833	341.556198935092	467.427873193898	413.71401630775	0	363.252391641385	390.60184481587	422.521833793453
0	346.853191118733	0	0	0	0	0	0	436.419391727	0	415.285839817611	0	0	342.29939351562	0	0	347.904861738128	0	0	405.31142269985	389.495572505548	0	0	0	0	350.668329591829	502.761153762178	0	0	345.413154095025	423.276334255763	0	0	0	423.065139220134	563.543968503728	503.508402468597	0	416.761446103319	0	348.930064404734	408.876116058055	351.131154613189	0	378.965044738298	0	0	0	0	371.879102974146	0	0	0	508.996910483059	350.517323882965	0	0	341.0028732138	0	0	0	369.240759490545	0	353.042016608241	0	442.817384690818	366.964801610753	0	341.10285458102	0	0	0	359.157756917254	429.869873699764	345.622927374537	0	0	0	345.283330780228
0	0	0	0	0	0	0	0	390.96740456291	0	0	0	0	0	0	0	0	0	0	345.765365742797	0	0	0	0	0	0	450.792222659254	0	0	0	404.444763023232	0	0	0	384.536668628454	521.32341898965	452.426709760566	0	379.207890488323	0	0	354.66770666582	0	0	0	0	0	0	0	0	0	0	0	465.522509972553	0	0	0	0	0	0	0	0	0	359.020308183142	0	408.165301526497	0	0	0	0	0	0	0	370.816707147606	0	0	0	0	0
359.175991940456	397.351878732796	339.454840380003	0	339.976941953196	0	394.093291269874	388.090604533177	507.550291052269	0	448.553426254044	342.29939351562	0	0	370.615274790548	383.086798304281	414.258471916807	359.38728237267	0	459.02311287688	0	0	362.587588860975	358.821691936228	349.824921328528	393.021630156708	524.98603021021	0	385.094783294214	411.512512890081	472.863545580572	348.210268405441	373.149244908914	345.547691396397	482.484217804979	624.772937393218	553.210967116736	376.101515027032	449.552631430312	346.990100727228	413.577268273268	468.876044386511	402.367432113691	357.984497170106	419.770871424251	370.641282310538	0	0	0	416.08419618471	0	385.621202386573	0	578.672705813443	404.543809055038	341.846054661226	365.500733857341	412.915466370679	0	345.941620142825	0	399.103567621876	362.803176083688	453.7436220722	344.634548379647	501.364813899324	408.771160733154	0	408.317006231012	361.807288990598	0	385.331501826494	394.467430625734	486.39037171506	409.563813625321	0	338.319135240177	369.369070582719	396.53138880225
0	0	0	0	0	0	0	0	417.719106809418	0	388.488018025023	0	0	370.615274790548	0	0	0	0	0	351.680043505172	367.698972073414	0	0	0	0	0	468.513392187514	0	0	0	408.833768107792	0	0	0	396.626932384796	552.369816213911	481.3449300836	0	387.558292738377	0	0	384.132419377486	344.242123160032	0	338.386947376771	0	0	0	0	352.934745464046	0	0	0	496.403908200591	361.486128916061	0	0	0	0	0	0	353.644499162766	0	0	0	421.930305634059	341.904738627032	0	0	0	0	0	344.861691045142	411.068697437319	0	0	0	0	0
0	356.885293718803	0	0	0	0	0	0	426.631456065217	0	407.412778677168	0	0	383.086798304281	0	0	0	0	0	393.661623993073	381.9404112292	0	0	0	0	345.084438754485	482.506978543096	0	0	363.939395521603	391.968295821447	0	0	0	422.269379662878	576.215965881879	518.433083003707	0	414.637585745644	0	342.581046555505	395.063362923319	365.137573425122	0	385.472918568512	0	0	0	0	375.420439211872	0	338.534012851477	0	510.458059238912	378.417889122916	0	0	351.589555511268	0	0	0	364.384562031156	0	395.595803223353	0	437.386753934085	376.767073197725	0	340.979406348936	0	0	0	0	418.832442425823	363.574176532478	0	0	0	347.086375119958
363.001917886896	375.801002037499	0	0	0	0	0	342.902424501118	428.157434674291	0	421.27546391134	347.904861738128	0	414.258471916807	0	0	0	341.234872151299	0	409.613950965316	397.011027655196	0	0	0	0	366.796194377838	507.201249793232	0	337.612117169923	373.73987552976	469.078513458234	0	0	0	430.598711103153	570.289981938655	485.83131019461	0	378.971934159748	0	392.690902441994	381.326697630061	382.124928723132	0	365.974930080514	0	0	0	0	360.159634430506	0	360.160551368427	0	519.175647597097	397.073289685161	0	0	361.775728561766	0	0	0	352.585204743224	0	401.568994798225	0	451.955608012669	395.413881655364	350.254056832224	337.441555619785	0	0	0	362.752062000319	413.496808153692	364.388748657124	0	0	0	0
0	0	0	0	0	0	0	0	442.032794215639	0	397.972312745473	0	0	359.38728237267	0	0	341.234872151299	0	0	368.653153711973	362.845037485207	0	0	0	0	0	476.259955210835	0	0	350.812745827655	425.758054446139	0	0	0	404.663887782069	564.714025740713	489.797992620042	0	407.13918807614	0	0	392.175581988784	0	0	366.194613660413	0	0	0	0	359.486964862059	0	0	0	513.740556568824	373.52965659869	0	0	0	0	0	0	346.321297423662	0	384.597031892489	0	420.834622653677	0	0	0	0	0	0	0	411.917134809797	347.92680935626	0	0	0	0
0	0	0	0	0	0	0	0	427.144310793626	0	369.070760935379	0	0	0	0	0	0	0	0	386.818281708811	355.585700516375	0	0	0	0	0	466.867875228748	0	0	340.57871514809	424.52928114713	0	0	0	376.632170684116	542.070548607774	480.314328032238	0	391.166452894436	0	363.172437960527	380.681560981879	346.329875399455	0	0	0	0	0	0	342.21749945182	0	0	0	500.307238517734	364.315088722592	0	0	337.957131578226	0	0	0	337.908736614866	0	358.768664906895	0	425.693340658778	368.648000334333	0	0	0	0	0	0	410.225688923836	0	0	0	0	0
378.470854021695	412.891043839986	363.15385524847	0	384.093457818781	353.967759311565	392.086525710933	346.565653837273	497.01029971187	362.612045058718	467.719969746295	405.31142269985	345.765365742797	459.02311287688	351.680043505172	393.661623993073	409.613950965316	368.653153711973	386.818281708811	0	437.669380554881	0	353.69857905506	378.081532513082	364.609191049421	424.037410075132	571.454875305379	0	357.82304954359	377.29864263003	465.747808233717	374.007939218297	398.832074103728	360.182360924329	490.55275028647	634.146685857497	582.001378194275	388.271261823202	472.864577767983	372.032340807508	347.260463623836	474.392601900275	439.433433357201	402.581004718058	436.665714246981	387.240215309755	368.812940800103	356.84486413259	0	441.54057720247	0	412.828860250864	374.27770128975	584.947255001235	457.492176532601	365.395894158855	396.816780485354	381.595862200065	353.821616077215	354.297302824791	357.036242487929	425.936025611482	403.419394614762	413.585464453069	376.880908557235	515.433085229219	413.969956211295	398.515928309214	416.878088344015	382.896621433807	0	399.054044986628	440.572176140663	497.833578370838	407.166103311867	0	0	370.813820982215	411.352387980952
