"#1"	"#10"	"#11"	"#12"	"#13"	"#14"	"#15"	"#16"	"#17"	"#18"	"#19"	"#2"	"#20"	"#21"	"#22"	"#23"	"#24"	"#25"	"#26"	"#27"	"#28"	"#29"	"#3"	"#30"	"#31"	"#33"	"#35"	"#36"	"#37"	"#38"	"#39"	"#4"	"#40"	"#41"	"#42"	"#43"	"#44"	"#45"	"#46"	"#47"	"#48"	"#49"	"#5"	"#50"	"#51"	"#52"	"#53"	"#54"	"#55"	"#56"	"#57"	"#58"	"#59"	"#6"	"#60"	"#61"	"#62"	"#64"	"#65"	"#66"	"#67"	"#68"	"#69"	"#7"	"#70"	"#71"	"#72"	"#73"	"#75"	"#76"	"#77"	"#78"	"#79"	"#8"	"#80"	"#81"	"#82"	"#83"	"#84"	"#85"	"#9"
1099.92199532542	1159.42311130162	1235.53485062277	0	1102.45951403544	1042.01324348563	1169.49811997709	1056.65266604113	1112.42572582704	1067.03296839943	1135.5900040324	1098.87362550834	1054.6989213077	1196.20639689958	1192.74091154771	0	1283.76739387587	1240.018016446	0	1100.12152068481	1028.32720111784	1131.49085507116	1038.60968789417	1142.38427798033	1172.63247476386	0	1104.31511416447	1244.8663268354	0	1045.32315066568	1038.93534990076	1187.52048907919	1290.19142048714	1090.80855389357	1100.86971457886	1324.45034618167	1408.6592251641	1280.06963213496	1100.9625938794	0	0	1230.697863246	1293.60221276434	1094.15535598954	1029.86488609295	1089.16398306624	1134.69326620191	1035.40615621561	1052.18930510742	1190.02405644948	1205.43362986643	1149.92991178773	1052.95179405364	1053.67264969485	1112.12663405385	1168.92361172564	1234.20834208099	1081.8588676873	1122.36393421464	1077.70708694509	1153.6710669269	1126.92314773851	1159.65756479842	1014.80982649061	0	1190.57694896611	1024.18603256502	1170.27430505793	1155.16468670603	1095.41322520099	1233.91504159466	1183.01441627364	0	1088.59304893113	1043.16371598475	1336.99060478432	1240.72623700414	0	1184.37094695092	1193.41451957314	1216.09087585973
1163.26170407777	1230.00652060641	1126.34516147736	1050.5189923748	1169.67976281997	1115.10831576862	1233.91448487595	1170.97818594267	1086.13431831669	1103.88119203762	1123.96911146672	1157.36753136996	1101.42098386581	1288.6561195108	1244.38534348996	1283.76739387587	0	1348.93983413433	1188.45136091606	1146.56229296062	1049.27193578512	1218.63406900246	999.473924238419	1199.08930324022	1239.41351725465	0	1209.36542645954	1381.73031328286	1003.88212129116	1109.07996049249	1171.18064356678	1222.73202936316	1110.37112606117	1164.42938853638	1093.79887186886	1290.51773104826	1382.21511129788	1210.34463346298	1185.94840446026	0	1066.21548594716	1306.88552861673	1081.25486131361	1254.84473697293	1052.90909714793	1087.0901868297	1085.99128897765	1095.81463155405	1069.34199534548	1282.97434675322	1013.18735428502	1208.50569371701	1218.05282889105	1125.16542664168	1311.0692766018	1224.04450014251	1288.91125031264	1075.14708833593	1202.04307517542	1071.45509650793	1167.74787541107	1212.14335756452	1185.31622246663	1098.26331485611	0	1259.06189702236	1043.82591227469	1152.81629303917	1230.22310342992	1123.08454093294	1169.60565359086	1236.3156849075	0	1042.02008112078	1104.96756486846	1327.23404917071	1178.16397673805	0	1267.3067127882	1211.59590637746	1028.46672317659
994.580456432601	1206.62571789924	1287.89482992901	1080.08794072392	1104.52788918141	1090.4934763935	1168.30758515196	1064.57426017143	1187.84986523644	1080.38868708774	1097.90254641236	1102.77690444683	1098.5979500436	1177.69999153455	1138.37123575597	1240.018016446	1348.93983413433	0	1181.21590105489	1045.69847149001	1003.45316681889	1161.66824015209	0	1129.47184318937	1173.43375129477	0	1137.28678918977	1281.16769714749	1020.73182380267	1074.69994012624	1037.34265338909	1195.55315820113	1310.6497182723	1111.73425821624	1108.62818947051	1267.88261973349	1396.26454926768	1301.98428787159	1193.76367204096	0	0	1122.70228841359	1318.753686132	1184.02197820943	0	1140.36131392356	1176.66759190949	991.830527947826	1054.39867345195	1145.95162092278	1219.82137618526	1103.44666163303	1159.12497593462	1090.34982707687	1332.29069310742	1168.50391862865	1182.67697806062	1120.86418229188	1042.19023345556	1113.46051143585	1234.27249135236	1088.68438701404	1225.66030411912	1165.25208343918	0	1114.95415526135	0	1166.50064039547	1104.79305565287	1107.18203418041	1170.13705059539	1173.64365848325	0	1103.03340564872	1057.96659792485	1335.28073194795	1150.05200714687	0	1110.26810286771	1229.71117162339	1243.98755475327
0	1059.36024671507	1095.45711671554	0	0	0	1131.4798479919	0	0	999.317758487138	1016.83084927229	0	0	1084.12789462592	1067.67206296383	0	1188.45136091606	1181.21590105489	0	0	0	1054.57347152589	0	1057.15401490656	1081.88209678075	0	1009.38273168028	1204.11799435745	0	0	0	1090.29764059026	1181.13534304628	0	992.20829994811	1202.85619851691	1292.37814523438	1165.92769471017	1025.02948153877	0	0	1070.38991242359	1147.04249142575	1066.80598181851	1022.95152479297	0	993.938034048255	0	0	1058.06208428396	1116.54400030304	1070.20186082729	1046.82846579932	0	0	1022.24965151458	1127.00296990209	1000.4304676014	1018.09313336892	0	1007.86876858992	1038.66899611192	1067.75448206087	1036.04048708741	0	1076.6890851715	0	1034.49003817693	1038.43528656731	995.784504073987	1105.59369368325	1068.43362569388	0	0	0	1249.98065017055	1148.59532530066	0	1040.14603221581	1019.28473336477	1060.67514297178
0	1017.64659680673	1105.41013775952	0	0	0	1004.47807598995	0	0	0	0	0	0	1053.60651791705	0	1100.12152068481	1146.56229296062	1045.69847149001	0	0	0	1006.50073273225	0	0	1066.47412536028	0	0	1145.88986483527	0	0	0	1076.38901934904	1098.38298022106	0	0	1170.86509551097	1270.45314105271	1134.09802095645	1021.8229148582	0	0	0	1120.72793260795	1046.39661720441	0	0	0	0	0	0	1035.0425122977	1004.01826293089	994.801738022744	0	1154.33782516107	0	0	0	0	0	1036.63927070352	0	1023.71656386612	0	0	0	0	1010.69832757369	0	0	1067.08128026924	1020.59724933526	0	0	0	1184.48683531039	0	0	0	0	1059.17694444561
0	0	0	0	0	0	0	0	0	0	0	0	0	998.721160302337	0	1028.32720111784	1049.27193578512	1003.45316681889	0	0	0	0	0	0	0	0	0	0	0	0	0	1009.44543701682	0	0	0	1060.14024255639	0	0	0	0	0	1017.720511971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076.79021761758	0	0	0	0	0
1023.13774101935	1084.58822539571	1068.28319219189	1017.95188459341	1044.69538298608	0	1121.67464493193	996.391784574724	1038.69030240558	0	0	1030.49349954673	0	0	1091.06834592671	1131.49085507116	1218.63406900246	1161.66824015209	1054.57347152589	1006.50073273225	0	0	0	1085.48215411725	1080.21145258461	0	1046.53563074739	1074.99810542096	0	0	0	1137.9696598059	1180.48658880449	1043.82969753018	1008.69077761598	1232.38676696751	1326.19098771431	1189.70720333644	1091.08448509223	0	0	1157.51129195026	1192.63344413815	1126.63175255068	0	1007.19168314429	1014.33384525561	0	0	1121.99707238715	1140.37120842638	1037.79596183633	1083.63088684161	1007.54441727946	1231.53875919514	1100.45644952971	1162.80860007308	1013.39549330455	1046.52058115608	0	1124.35581056274	1064.79165895527	1100.70793704969	1063.21311740339	0	1072.00597438643	0	1044.80032275633	1011.62029782754	0	1149.02724311913	1092.99120387876	0	992.279226967229	0	1214.918332014	1020.42008393735	0	1130.61518865881	1115.13000073486	1104.36476708935
0	0	0	0	0	0	0	0	0	0	0	0	0	993.448848469501	0	1038.60968789417	999.473924238419	0	0	0	0	0	0	0	0	0	0	1083.40740360705	0	0	0	1005.73059825795	1028.11262491483	0	0	1072.94833540991	1149.59193977969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075.83619931977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1100.32846791619	1164.45952556069	1017.9302581396	999.429018686409	0	1115.9096285733	990.640606653706	1046.77103667995	1038.54743259285	1054.92402876638	0	1023.91321886748	1157.48798035401	1028.31121636329	1142.38427798033	1199.08930324022	1129.47184318937	1057.15401490656	0	0	1085.48215411725	0	0	1110.37462820363	0	1082.51780310469	1131.2724726955	0	0	0	1155.32367223706	1222.08030500193	0	1017.37856033637	1228.65007447769	1333.78427629902	1196.50594531937	1065.73574683545	0	0	1063.15979909277	1153.28503687584	1101.43839723601	1014.29207546367	0	1063.07855154324	0	998.162880599155	1095.2450985417	1116.32155964428	1076.53679844963	0	0	1203.51103227962	1083.88028041385	1083.68696823842	1018.48614538543	0	0	1105.54506679115	1007.66345800124	1141.31012087911	1033.4326423072	0	0	0	1092.95802882218	0	992.605567378018	1126.52195330902	992.611925006348	0	1019.98602583564	1006.81856435804	1301.07770836853	1104.31025138931	0	1055.5661759761	1119.36607482515	1148.16326485399
1083.00737521039	1114.30202292637	1173.95275364943	1017.04146927606	997.991718810488	0	1190.91884728469	1031.9382576454	1029.10479832654	1051.92521063038	1069.31955426217	1009.342117216	1032.51530043576	1161.5764004327	1140.61200743397	1172.63247476386	1239.41351725465	1173.43375129477	1081.88209678075	1066.47412536028	0	1080.21145258461	0	1110.37462820363	0	0	1101.83180771762	1228.30038616449	0	1013.69801085801	1049.00090000986	1072.42041018891	1190.72704975807	1016.24901842899	1068.0591213257	1218.24660157385	1327.62832330303	1193.61346654349	1105.73482043688	0	0	1181.18172851879	1205.6692241137	1151.33618666713	991.124414188719	0	1051.6711769545	1004.84909786975	0	1154.85008153906	1073.59958064048	1105.10497862836	1066.36878356533	0	1213.47285091419	1104.45350658609	1195.58037597317	991.621049748797	1100.96411640084	1000.33769760578	1086.45327355473	1037.26146075494	1110.9072892586	1043.80518703978	0	1149.38761314435	0	1097.51197923049	1113.89204482384	1048.46387397728	1129.75272206954	1115.10658046896	0	1005.0277302771	1022.41628613244	1319.92870828386	1175.21402409545	0	1103.71976603514	1142.04737723583	1006.62905155408
